nome,populacao
JOAQUIM TÁVORA,11.945
SÃO JOÃO,11.886
PÉROLA,11.878
JATAIZINHO,11.813
PORECATU,11.624
ITAIPULÂNDIA,11.485
CIDADE GAÚCHA,11.467
FLORESTÓPOLIS,11.446
SANTA FÉ,11.378
RONCADOR,11.251
MOREIRA SALES,11.175
TRÊS BARRAS DO PARANÁ,11.135
CÉU AZUL,11.087
SANTA MARIANA,11.066
MISSAL,11.064
GENERAL CARNEIRO,11.062
CANTAGALO,10.933
CENTENÁRIO DO SUL,10.832
SÃO JERÔNIMO DA SERRA,10.83
BARBOSA FERRAZ,10.795
TAMARANA,10.707
QUERÊNCIA DO NORTE,10.685
IRETAMA,10.684
SÃO JOÃO DO IVAÍ,10.667
JESUÍTAS,10506
FLORESTA,10458
CATANDUVAS,10446
URAÍ,10406
ALVORADA DO SUL,10326
AGUDOS DO SUL,10233
PRIMEIRO DE MAIO,10082
SANTA MARIA DO OESTE,9934
MARILUZ,9847
BARRACÃO,9759
ALTO PIQUIRI,9727
VITORINO,9706
VENTANIA,9681
INÁCIO MARTINS,9670
PARANACITY,9557
TEIXEIRA SOARES,9547
CAMBIRA,9460
MAUÁ DA SERRA,9383
SÃO JORGE D'OESTE,9378
DOURADINA,9161
JAPURÁ,9144
RONDON,9097
ICARAÍMA,8991
SANTA ISABEL DO IVAÍ,8912
SABÁUDIA,8822
CALIFÓRNIA,8710
SÃO PEDRO DO IVAÍ,8690
MARILÂNDIA DO SUL,8677
SANTA CRUZ DE MONTE CASTELO,8613
TOMAZINA,8426
NOVA SANTA ROSA,8322
CONGONHINHAS,8320
VERA CRUZ DO OESTE,8215
FRANCISCO ALVES,8116
QUATIGUÁ,8099
TUPÃSSI,8077
TUNEIRAS DO OESTE,8067
SÃO SEBASTIÃO DA AMOREIRA,8063
FIGUEIRA,8062
VERÊ,7932
BOA VISTA DA APARECIDA,7924
GUAMIRANGA,7856
JURANDA,7771
BORRAZÓPOLIS,7735
FORMOSA DO OESTE,7635
CAMPO DO TENENTE,7508
GUARAQUEÇABA,7430
MARILENA,7253
ABATIÁ,7241
NOVA FÁTIMA,7225
PEROBAL,7189
ANTONIO OLINTO,7018
NOVA TEBAS,6848
RENASCENÇA,6841
IVATÉ,6831
NOVA CANTU,6790
OURO VERDE DO OESTE,6785
SAPOPEMA,6695
JUSSARA,6690
LUIZIANA,6690
SÃO CARLOS DO IVAÍ,6587
BOM SUCESSO,6581
GOIOXIM,6566
PINHALÃO,6566
MARIPÁ,6555
RESERVA DO IGUAÇU,6553
GUAIRAÇÁ,6544
SÃO JORGE DO PATROCÍNIO,6504
BOA VENTURA DE SÃO ROQUE,6378
MARIÓPOLIS,6371
PAULO FRONTIN,6343
DOUTOR CAMARGO,6327
ADRIANÓPOLIS,6256
FERNANDES PINHEIRO,6255
PÉROLA D'OESTE,6221
TUNAS DO PARANÁ,6219
IBEMA,6218
SANTO INÁCIO,6181
ITAMBÉ,6111
SAUDADE DO IGUAÇU,6108
SÃO JOSÉ DA BOA VISTA,6040
ENÉAS MARQUES,5999
MERCEDES,5931
ITAMBARACÁ,5908
JANIÓPOLIS,5870
MARIA HELENA,5865
NOVA OLÍMPIA,5833
XAMBRÊ,5798
SÃO PEDRO DO IGUAÇU,5784
TAPIRA,5745
PRANCHITA,5737
PATO BRAGADO,5733
DOUTOR ULYSSES,5697
PAULA FREITAS,5666
CORONEL DOMINGOS SOARES,5649
GRANDES RIOS,5641
SERTANEJA,5616
LARANJAL,5600
NOVA ESPERANÇA DO SUDOESTE,5597
SÃO JOÃO DO CAIUÁ,5586
SANTANA DO ITARARÉ,5514
ROSÁRIO DO IVAÍ,5435
JABOTI,5427
IGUARAÇU,5338
SÃO TOMÉ,5232
SALTO DO ITARARÉ,5192
LINDOESTE,5175
SÃO JORGE DO IVAÍ,5168
DIAMANTE DO NORTE,5142
SERRANÓPOLIS DO IGUAÇU,5007
QUINTA DO SOL,5001
JAPIRA,4972
HONÓRIO SERPA,4941
FOZ DO JORDÃO,4926
TAMBOARA,4880
LUNARDELLI,4872
BRAGANEY,4854
LUPIONÓPOLIS,4813
ESPIGÃO ALTO DO IGUAÇU,4797
FLORAÍ,4792
AMAPORÃ,4762
GUARACI,4748
MARUMBI,4699
GUAPIRAMA,4626
LOBATO,4601
KALORÉ,4582
ENTRE RIOS DO OESTE,4575
BOA ESPERANÇA,4558
DIAMANTE D'OESTE,4557
MARQUINHO,4504
CRUZEIRO DO SUL,4494
FÊNIX,4492
ITAGUAJÉ,4481
QUATRO PONTES,4480
CAFEZAL DO SUL,4473
INDIANÓPOLIS,4448
FLOR DA SERRA DO SUL,4364
PRESIDENTE CASTELO BRANCO,4336
RAMILÂNDIA,4221
QUARTO CENTENÁRIO,4201
NOVA SANTA BÁRBARA,4184
CRUZEIRO DO IGUAÇU,4133
PORTO AMAZONAS,4098
SALGADO FILHO,4075
PLANALTINA DO PARANÁ,4070
BELA VISTA DA CAROBA,4031
CAMPO BONITO,4027
ATALAIA,3980
BOM JESUS DO SUL,3980
MUNHOZ DE MELLO,3951
LIDIANÓPOLIS,3938
CAMPINA DO SIMÃO,3936
SÃO JOSÉ DAS PALMEIRAS,3870
VIRMOND,3811
RIO BRANCO DO IVAÍ,3808
CORUMBATAÍ DO SUL,3760
LEÓPOLIS,3752
PRADO FERREIRA,3709
BRASILÂNDIA DO SUL,3708
NOSSA SENHORA DAS GRAÇAS,3669
SANTA LÚCIA,3644
ALTAMIRA DO PARANÁ,3590
ITAÚNA DO SUL,3572
PORTO VITÓRIA,3562
ARAPUÃ,3527
RANCHO ALEGRE,3512
CONSELHEIRO MAIRINCK,3461
SULINA,3440
SANTA AMÉLIA,3394
SANTA CECÍLIA DO PAVÃO,3365
SANTA MÔNICA,3356
JUNDIAÍ DO SUL,3333
NOVA AMÉRICA DA COLINA,3280
MATO RICO,3267
ÂNGULO,3235
BOM SUCESSO DO SUL,3202
RIO BOM,3197
OURIZONA,3187
PORTO RICO,3182
DIAMANTE DO SUL,3171
NOVO ITACOLOMI,3125
PORTO BARREIRO,3110
ALTO PARAÍSO,3055
PITANGUEIRAS,3046
FAROL,3039
GODOY MOREIRA,2977
ANAHY,2918
CRUZMALTINA,2882
BARRA DO JACARÉ,2814
MANFRINÓPOLIS,2770
PINHAL DO SÃO BENTO,2761
IVATUBA,2708
SÃO PEDRO DO PARANÁ,2661
FLÓRIDA,2652
CAFEARA,2627
RANCHO ALEGRE D'OESTE,2618
INAJÁ,2536
SANTO ANTÔNIO DO CAIUÁ,2493
BOA ESPERANÇA DO IGUAÇU,2455
PARANAPOEMA,2398
IRACEMA DO OESTE,2343
ARIRANHA DO IVAÍ,2329
MIRADOR,2238
GUAPOREMA,2191
IGUATU,2144
SÃO MANOEL DO PARANÁ,2138
UNIFLOR,2136
SANTO ANTÔNIO DO PARAÍSO,2125
MIRASELVA,1966
ESPERANÇA NOVA,1849
SANTA INÊS,1748
JARDIM OLINDA,1343
NOVA ALIANÇA DO IVAÍ,1323
IRATI,59250
MARECHAL CÂNDIDO RONDON,55836
UNIÃO DA VITÓRIA,55033
MEDIANEIRA,54369
IBIPORÃ,51603
PRUDENTÓPOLIS,49393
PALMAS,48247
CAMPINA GRANDE DO SUL,47799
PAIÇANDU,45962
CORNÉLIO PROCÓPIO,45206
LAPA,45003
DOIS VIZINHOS,44869
SANTO ANTONIO DA PLATINA,44369
SÃO MATEUS DO SUL,42358
GUARATUBA,42062
MARIALVA,41851
JACAREZINHO,40375
MATINHOS,39259
RIO BRANCO DO SUL,37558
ASSIS CHATEAUBRIAND,36808
MANDAGUARI,36716
JAGUARIAÍVA,35141
PALOTINA,35011
PALMEIRA,33855
PITANGA,33567
IVAIPORÃ,32720
LARANJEIRAS DO SUL,32227
GUAÍRA,32097
MANDAGUAÇU,31457
RIO NEGRO,31324
BANDEIRANTES,31273
ITAPERUÇU,31217
QUEDAS DO IGUAÇU,30738
PONTAL DO PARANÁ,30425
IMBITUVA,29924
PINHÃO,29886
CAMPO MAGRO,29879
SÃO MIGUEL DO IGUAÇU,29122
IBAITI,28830
GOIOERÊ,28437
MANDIRITUBA,27434
NOVA ESPERANÇA,26585
ARAPOTI,25777
SANTA HELENA,25492
ASTORGA,25475
UBIRATÃ,24749
RESERVA,24573
SANTA TEREZINHA DE ITAIPU,24262
ORTIGUEIRA,24192
QUATRO BARRAS,24191
CRUZEIRO DO OESTE,23831
SANTO ANTÔNIO DO SUDOESTE,23673
PIRAÍ DO SUL,23649
CORONEL VIVIDA,23331
CARAMBEÍ,23283
LOANDA,23225
CAMBARÁ,23210
COLORADO,22896
SIQUEIRA CAMPOS,22811
JANDAIA DO SUL,21408
CHOPINZINHO,21079
CAPANEMA,20481
CURITIBA,1773733
LONDRINA,555937
MARINGA,409657
PONTA GROSSA,358367
CASCAVEL,348051
SÃO JOSÉ DOS PINHAIS,329222
FOZ DO IGUAÇU,285415
COLOMBO,232056
GUARAPUAVA,182093
ARAUCÁRIA,151666
TOLEDO,150470
FAZENDA RIO GRANDE,148873
PARANAGUÁ,145829
CAMPO LARGO,136327
APUCARANA,130134
PINHAIS,127019
ALMIRANTE TAMANDARÉ,119825
ARAPONGAS,119138
PIRAQUARA,118730
SARANDI,118455
UMUARAMA,117095
CAMBÉ,107208
CAMPO MOURÃO,99432
FRANCISCO BELTRÃO,96666
PARANAVAÍ,91950
PATO BRANCO,91836
CIANORTE,79527
TELÊMACO BORBA,75042
CASTRO,73044
ROLÂNDIA,71670
